#|num|weight|mean|covariance matrix|
|0|646.872346475|-24.2062045635 57.2650745472 27.2180089633|9.81162974632 -4.69970110846 -0.545278949219 -4.69970110846 2.82876508549 1.31949958106 -0.545278949219 1.31949958106 3.77232993947|
|1|2.35992425124e-05|-9.44799517364 33.684986071 15.358353595|0.000997373769631 -3.15024920456e-07 -6.75566708402e-08 -3.15024920456e-07 0.000999845008301 5.38430126838e-07 -6.75566708402e-08 5.38430126838e-07 0.000997449709164|
|2|0.818968567393|-21.3768444061 41.5270652771 9.3017950058|0.001 -4.37652861049e-22 -1.29246970711e-26 -4.37656092223e-22 0.000999999999999 2.71050543121e-20 0.0 2.71853467859e-20 0.000999999999999|
|3|40.8441426942|-11.4934485202 39.6407780665 28.32555137|1.79617758093 -0.58041453639 -1.34478727719 -0.58041453639 0.308940996799 0.571381710634 -1.34478727719 0.571381710634 1.16349659214|
|4|163.18089618|-13.6137694511 38.3484104925 -4.44058901793|6.49146593749 -1.94592319285 -1.13392549755 -1.94592319285 6.44138867103 0.874103127768 -1.13392549755 0.874103127768 0.295222944389|
|5|98.3384276374|1.39734228888 54.0039718276 18.6024790602|31.8945596526 12.6245369539 -9.43125864805 12.6245369539 5.26320476462 -3.76717283235 -9.43125864805 -3.76717283235 2.82626062747|
|6|13.7400357536|-17.6901569366 48.4049491882 7.34417438507|0.001 -3.02922587605e-28 -5.04870979341e-29 -3.02922587605e-28 0.001 0.0 -5.04870979341e-29 7.88287727866e-22 0.001|
|7|27.4820058383|-28.7710832037 42.9183813112 27.6705135487|0.00562300439445 0.111205017835 -0.110220489376 0.111205017835 2.67685423609 -2.65214520524 -0.110220489376 -2.65214520524 2.62964668463|
|8|27.4801074497|-33.1588059005 39.3110619018 -0.804906276969|0.0167927062951 -0.0126761931298 -0.00105179227729 -0.0126761931298 0.0111712962585 0.000844140952337 -0.00105179227729 0.000844140952337 0.00106772266199|
|9|13.7400614192|-10.8766393661 57.6963043213 4.49767971039|0.001 -7.39951529097e-28 1.26217744835e-29 -3.35265884719e-28 0.001 0.0 3.78653234506e-29 2.18652195781e-22 0.001|
|10|27.4798082678|-13.1383878626 38.7556058809 30.4494722404|0.103121266232 0.10989085378 0.00927334679672 0.10989085378 0.119242662205 0.00997841843696 0.00927334679672 0.00997841843696 0.00183728446438|
|11|41.92607235|3.34997600401 39.8543931871 10.0745474003|4.45413173073 1.06545946793 5.13509208147 1.06545946793 1.94194460438 0.189402214361 5.13509208147 0.189402214361 6.56321687742|
|12|27.4794968258|-9.46633799375 38.9615369146 15.3467488499|3.25593142767 -0.934719419323 0.365584915417 -0.934719419323 0.269346634797 -0.10498374971 0.365584915417 -0.10498374971 0.0419894395346|
|13|51.9886612352|-14.4578892497 49.2898294087 4.6530781584|17.0734322032 -9.11658612176 -19.1781218464 -9.11658612176 5.55353808762 10.5019026526 -19.1781218464 10.5019026526 21.6442282168|
|14|13.7400614195|-26.1459598541 39.5759658813 3.1847076416|0.001 -6.37399611419e-28 -2.01948391737e-28 -6.31088724177e-28 0.001 -1.35525271561e-20 -3.02922587605e-28 -8.321282964e-21 0.001|
|15|218.619415978|7.2416691636 43.1078251036 28.6378429522|9.30427876768 -1.73153157779 7.19887647045 -1.73153157779 0.604596248947 -1.62408878724 7.19887647045 -1.62408878724 7.66487399987|
|16|27.4799460355|0.562199155873 37.0596097557 17.8597859714|1.58582049994 -10.5459908466 4.85333969177 -10.5459908466 70.1779451374 -32.2959275431 4.85333969177 -32.2959275431 14.8638137561|
